Set: 7DS
Name || Mana Cost || Type || Rarity || Rules Text || Flavor Text || Power || Toughness || Loyalty || Illustrator || Card Number || Notes || [BACK FACE] || Name 2 || Mana Cost 2 || Type 2 || Rules Text 2 || Flavor Text 2 || Power 2 || Toughness 2 || Loyalty 2 || Illustrator 2 || Card Number 2 || Notes 2 || 
Meliodas, Accursed Demon || 1UB || Legendary Creature — Demon Sinner  || mythic rare || Full Counter — Whenever this creature becomes the target of a spell an opponent controls, you may pay 3 and T. If you do, change that spell’s target to its controller, if able. ||  || 3 || 2 ||  || D4n_Arts || 2 ||  ||  ||  ||  || mythic rare ||  ||  ||  ||  ||  ||  || 2 ||  || 
Demon Sword Lostvayne || 4 || Legendary Artifact — Sacred Treasure  || mythic rare || Equipped creature has Myriad\n Activated abilities of equipped creature can be activated without tapping it.\n Equip 2 ||  ||  ||  ||  || Studio Deen || 3 ||  ||  ||  ||  || mythic rare ||  ||  ||  ||  ||  ||  || 3 ||  || 
Diane, Giant Queen || 3GW || Legendary Creature — Giant Sinner  || mythic rare || Heavy Metal — Whenever this creature becomes the target of a spell, you may pay 1G. If you do, counter that spell.\n Drole’s Dance — 3G: Gain +1/+1 for each land you control until end of turn. ||  || 2 || 5 ||  || Val || 5 ||  ||  ||  ||  || mythic rare ||  ||  ||  ||  ||  ||  || 5 ||  || 
War Hammer Gideon || 3 || Legendary Artifact — Sacred Treasure  || mythic rare || If a source would deal damage to equipped creature or its controller, you may sacrifice a land instead.\n Equip 3 ||  ||  ||  ||  || A-1 Pictures || 6 ||  ||  ||  ||  || mythic rare ||  ||  ||  ||  ||  ||  || 6 ||  || 
Ban, the Undead || 3RW || Legendary Creature — Human Sinner  || mythic rare || Indestructible\n Snatch — Whenever Ban, the Undead attacks, target creature gets -X/-Y until the beginning of your next upkeep and Ban gets +X/+Y until the beginning of your next upkeep, where X and Y are half that creature’s power and toughness, respectively, rounded down. ||  || 2 || 2 ||  || Theo Murgan || 8 ||  ||  ||  ||  || mythic rare ||  ||  ||  ||  ||  ||  || 8 ||  || 
Holy Staff Courechouse || 1 || Legendary Artifact — Sacred Treasure  || mythic rare || If one or more counters would be placed on equipped creature, twice that many of those counters are placed instead.\n Equip 4 ||  ||  ||  ||  || Studio Deen || 9 ||  ||  ||  ||  || mythic rare ||  ||  ||  ||  ||  ||  || 9 ||  || 
Harlequin, Traitorous King || 2RG || Legendary Creature — Faerie Sinner  || mythic rare || Flying\n Disaster — T: For each source that dealt damage this turn, it deals that much damage again to the same permanents and players. ||  || 1 || 2 ||  || Jcomaeda || 11 ||  ||  ||  ||  || mythic rare ||  ||  ||  ||  ||  ||  || 11 ||  || 
Spirit Spear Chastiefol || 3 || Legendary Artifact — Sacred Treasure  || mythic rare || Equipped Creature has +3/+1 and vigilance\n Equip 2 ||  ||  ||  ||  || A-1 Pictures || 12 ||  ||  ||  ||  || mythic rare ||  ||  ||  ||  ||  ||  || 12 ||  || 
Goather, Magic Doll || 2UR || Legendary Creature — Doll Sinner  || mythic rare || Jack — 2U, T: Gain control of target creature until end of turn. You can’t activate its abilities.\n Rewrite Light — 2R, T: You may choose new targets for target spell or ability. ||  || 2 || 3 ||  || super omur || 14 ||  ||  ||  ||  || mythic rare ||  ||  ||  ||  ||  ||  || 14 ||  || 
Twin Bow Herritt || 4 || Legendary Artifact — Sacred Treasure  || mythic rare || Activated abilities of equipped creature cost 2 less to activate.\n Equip 3 ||  ||  ||  ||  || Telecom Animation Film || 15 ||  ||  ||  ||  || mythic rare ||  ||  ||  ||  ||  ||  || 15 ||  || 
