Set: KNY
Name || Mana Cost || Type || Rarity || Rules Text || Flavor Text || Power || Toughness || Loyalty || Illustrator || Card Number || Notes || [BACK FACE] || Name 2 || Mana Cost 2 || Type 2 || Rules Text 2 || Flavor Text 2 || Power 2 || Toughness 2 || Loyalty 2 || Illustrator 2 || Card Number 2 || Notes 2 || 
Insosuke Hashibira || 3RG || Legendary Creature — Human Slayer  || masterpiece || Beast Breathing\n Inosuke’s power is equal to the greatest power amongst creatures you control.\n Inosuke’s toughness is equal to the greatest power amongst creatures you control. || “Lord Inosuke comin’ through” || * || * ||  || Koyoharu Gotouge || 1 ||  ||  ||  ||  || masterpiece ||  ||  ||  ||  ||  ||  || 1 ||  || 
Yorichi ||  || Legendary Creature — Hashira  || common || Sun Breathing (Whenever This creature attacks, you may pay 2. If you do, double its power until end of turn and it gains trample.) ||  ||  ||  ||  ||  || 1 ||  ||  ||  ||  || common ||  ||  ||  ||  ||  ||  || 1 ||  || 
Tanjiro, Water Breathing Apprentice || 2U || Legendary Creature — Human Slayer  || uncommon || Water Breathing (Whenever This creature attacks or blocks, you may pay 1. If you do, tap or untap target creature.)\n Other creatures you control have ward 1 ||  || 2 || 2 ||  || Ufotable || 2 ||  ||  ||  ||  || uncommon ||  ||  ||  ||  ||  ||  || 2 ||  || 
Kanao Tsuyuri || 2GW || Legendary Creature — Human Slayer  || masterpiece || Flower Breathing\n T: Flip a coin, if heads double this creature’s power until end of turn. || “I flip this... to help me decide things that weren’t ordered.” || 3 || 2 ||  || Koyoharu Gotouge || 2 ||  ||  ||  ||  || masterpiece ||  ||  ||  ||  ||  ||  || 2 ||  || 
Tanjiro, Hinokami Kagura || 2R || Legendary Creature — Human Slayer  || rare || Hinokami Kagura (Whenever This creature attacks, you may pay 3. If you do, double its power until end of turn and it gains trample.)\n Damage dealt to creatures by Tanjiro, Hinokami Kagura this turn isn’t removed during the cleanup step this turn. ||  || 3 || 2 ||  || Ufotable || 3 ||  ||  ||  ||  || rare ||  ||  ||  ||  ||  ||  || 3 ||  || 
Shinobu Kocho, Insect Hashira || 1BG || Legendary Creature — Hashira  || masterpiece || Insect Breathing\n At the beginning of your end step, remove all -1/-1 counters from creatures you control. || “I’m weak, but I’ll still do something. No matter how weak I am, I can still fight.” || 0 || 3 ||  || Koyoharu Gotouge || 3 ||  ||  ||  ||  || masterpiece ||  ||  ||  ||  ||  ||  || 3 ||  || 
Tanjiro, Mark Awakened || 2RW || Legendary Creature — Hashira  || masterpiece || Sun Breathing\n Abilities of other Hashira creatures you control cost {0} to activate. || “I will follow you to the ends of hell! And my blade WILL BE THE LAST THING YOU SEE!” || 3 || 4 ||  || Koyoharu Gotouge || 4 ||  ||  ||  ||  || masterpiece ||  ||  ||  ||  ||  ||  || 4 ||  || 
Giyu Tomioka || WU || Legendary Creature — Hashira  || common || Water Breathing (Whenever This creature attacks or blocks, you may pay 1. If you do, tap or untap target creature.) ||  ||  ||  ||  ||  || 4 ||  ||  ||  ||  || common ||  ||  ||  ||  ||  ||  || 4 ||  || 
Gyomei Himejima || GW || Legendary Creature — Hashira  || common || Stone Breathing (Whenever This creature blocks, you may pay 1. If you do, prevent all damage that would be dealt to it this turn.) ||  ||  ||  ||  ||  || 5 ||  ||  ||  ||  || common ||  ||  ||  ||  ||  ||  || 5 ||  || 
Tengen Uzui || 2RW || Legendary Creature — Hashira  || masterpiece || Sound Breathing\n The first time this creature dies this game, exile it instead and return it to the battlefield at the beginning of your next upkeep. || “Starting now, things are gonna get real flashy!” || 4 || 3 ||  || Koyoharu Gotouge || 5 ||  ||  ||  ||  || masterpiece ||  ||  ||  ||  ||  ||  || 5 ||  || 
