Set: HSR
Name || Mana Cost || Type || Rarity || Rules Text || Flavor Text || Power || Toughness || Loyalty || Illustrator || Card Number || Notes || [BACK FACE] || Name 2 || Mana Cost 2 || Type 2 || Rules Text 2 || Flavor Text 2 || Power 2 || Toughness 2 || Loyalty 2 || Illustrator 2 || Card Number 2 || Notes 2 || 
Curtain Interruption || 1U || Instant || uncommon || Counter target spell unless its controller pays X where X is Certified Banger divided by 10. (Certified Banger is shared between players. Whenever a player is instructed to increase Certified Banger, that value increases by the stated amount.) ||  ||  ||  ||  ||  || 1 ||  ||  ||  ||  || uncommon ||  ||  ||  ||  ||  ||  || 1 ||  || 
Evanescia, Overseer || 2RR || Legendary Creature — Elation  || masterpiece || Punchline 1\n R: Deal 3 damage to target creature and increase Certified Banger by 2. You may activate this for every 20 Certified Banger per turn. ||  || 3 || 2 ||  || ddengart || 2 ||  ||  ||  ||  || masterpiece ||  ||  ||  ||  ||  ||  || 2 ||  || 
Stage Mishap || 1B || Instant || common || Target creature gets -X/-X until end of turn, where X is Certified Banger divided by 10. If that creature dies, increase Certified Banger by 2 (Certified Banger is shared between players. Whenever a player is instructed to increase Certified Banger, that value increases by the stated amount.) ||  ||  ||  ||  ||  || 2 ||  ||  ||  ||  || common ||  ||  ||  ||  ||  ||  || 2 ||  || 
Evanescia, Overseer || 2RR || Legendary Creature — Elation  || rare || Punchline 1\n R: Deal 3 damage to target creature and increase Certified Banger by 2. You may activate this for every 20 Certified Banger per turn. ||  || 3 || 2 ||  || Hoyoverse || 3 ||  ||  ||  ||  || rare ||  ||  ||  ||  ||  ||  || 3 ||  || 
Grand Punchline || 3RR || Sorcery || uncommon || Creatures you control gain Punchline 2 until end of turn. (Whenever that creature becomes the target of a spell or ability, or deals combat damage to a player, increase Certified Banger by 2)\n Creatures with Punchline deal damage equal to their Punchline value to any target.\n Increase Certified Banger by the number of creatures that dealt damage this way. ||  ||  ||  ||  ||  || 4 ||  ||  ||  ||  || uncommon ||  ||  ||  ||  ||  ||  || 4 ||  || 
Improvised Bit || R || Instant || common || Target creature gains Punchline 1 until end of turn. If it already has Punchline, it deals 1 damage to any target. (Whenever that creature becomes the target of a spell or ability, or deals combat damage to a player, increase Certified Banger by 1)\n Increase Certified Banger by 1 ||  ||  ||  ||  ||  || 5 ||  ||  ||  ||  || common ||  ||  ||  ||  ||  ||  || 5 ||  || 
Aha, The Laughter || 3BR || Legendary Creature — Elation Aeon  || mythic rare || As long as you control less than 4 Elation creatures, Aha isn’t a creature.\n Aha Instant — At the beginning of your end step, deal damage to each opponent equal to Certified Banger divided by 20 (Certified Banger is shared between players. Whenever a player is instructed to increase Certified Banger, that value increases by the stated amount.) ||  || 0 || 2 ||  || Hoyoverse || 6 ||  ||  ||  ||  || mythic rare ||  ||  ||  ||  ||  ||  || 6 ||  || 
The Phantasmoon Games || 4UBR || Legendary Enchantment || mythic rare || When The Phantasmoon Games enters the battlefield, each player’s Certified Banger becomes 0.\n Each player tracks their own Certified Banger.\n Creatures have Punchline X, where X is their base power.\n Whenever a player’s Certified Banger becomes 100 or greater, that player wins the game. ||  ||  ||  ||  || Hoyoverse || 7 ||  ||  ||  ||  || mythic rare ||  ||  ||  ||  ||  ||  || 7 ||  || 
Script Rewrite || 2UB || Sorcery || common || Exile target creature. Its controller creates a token that’s a copy of it, except it’s a 1/1 and loses all abilities\n Increase Certified Banger by 2 ||  ||  ||  ||  ||  || 8 ||  ||  ||  ||  || common ||  ||  ||  ||  ||  ||  || 8 ||  || 
Silver Wolf, Lvl 999 || 1UBR || Legendary Creature — Elation  || rare || Punchline 2\n Silver Wolf, Lvl 999’s power and toughness are each equal to Certified Banger divided by 10 plus 1 ||  || * || * ||  || Hoyoverse || 9 ||  ||  ||  ||  || rare ||  ||  ||  ||  ||  ||  || 9 ||  || 
Sparxie, Queen of Arcadia || 2UR || Legendary Creature — Elation  || uncommon || Whenever this creature deals combat damage to a creature, that creature becomes goaded and gains ‘Punchline 1’ (Whenever this creature becomes the target of a spell or ability, or deals combat damage to a player, increase Certified Banger by 1) ||  || 3 || 3 ||  || Hoyoverse || 10 ||  ||  ||  ||  || uncommon ||  ||  ||  ||  ||  ||  || 10 ||  || 
Trailblazer, Elation || 2UR || Legendary Creature — Elation  || rare || Punchline 1\n 1UR: Target creature you control gains Punchline 2. If it already has Punchline, increase its Punchline value by 2 instead. ||  || 2 || 2 ||  || Hoyoverse || 11 ||  ||  ||  ||  || rare ||  ||  ||  ||  ||  ||  || 11 ||  || 
Yao Guang, Seer Strategist || 1UR || Legendary Creature — Elation  || uncommon || Punchline 1 (Whenever this creature becomes the target of a spell or ability, or deals combat damage to a player, increase Certified Banger by 1)\n If Certified Banger would increase, it increases by an additional 1 instead. ||  || 1 || 2 ||  || Hoyoverse || 12 ||  ||  ||  ||  || uncommon ||  ||  ||  ||  ||  ||  || 12 ||  || 
Cat Mask || 3 || Legendary Artifact — Equipment  || uncommon || Equipped creature gains Punchline 2. If it already has Punchline, increase its Punchline value by 2 instead.\n Equipped creature gains ‘RR: This creature deals damage equal to its power to any target.’.\n Equip 2 ||  ||  ||  ||  ||  || 13 ||  ||  ||  ||  || uncommon ||  ||  ||  ||  ||  ||  || 13 ||  || 
